Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7µ","C_0402_1005Metric_noSS",9.375000,5.075000,-90.000000,bottom
"C2","1µ","C_0402_1005Metric_noSS",3.175000,6.805000,90.000000,bottom
"C3","1µ","C_0402_1005Metric_noSS",3.175000,3.220000,90.000000,bottom
"Q1","Würth 1541201NC3060","LED_1206_3216Metric_IPC_C",10.950000,2.150000,-90.000000,bottom
"Q2","Würth 1541201NC3060","LED_1206_3216Metric_IPC_C",1.150000,2.150000,-90.000000,bottom
"Q3","Würth 1541201NC3060","LED_1206_3216Metric_IPC_C",1.150000,6.050000,90.000000,bottom
"Q4","Würth 1541201NC3060","LED_1206_3216Metric_IPC_C",10.950000,6.050000,90.000000,bottom
"R2","2k2","R_0402_1005Metric_noSS",9.375000,3.220000,-90.000000,bottom
"U2","NCP115AMX330TCG","OnSemi_XDFN4-1EP_1.0x1.0mm_EP0.52x0.52mm",2.900000,5.025000,90.000000,bottom
"U3","STM32F042G6Ux","QFN-28_4x4mm_P0.5mm",6.269400,4.839734,0.000000,bottom
